Feature,Baseline_Accuracy,Permuted_Accuracy,Importance
Lymph nodes examined positive,0.6070528967254408,0.5919395465994962,0.015113350125944613
Type of Breast Surgery_Mastectomy,0.6070528967254408,0.5944584382871536,0.012594458438287215
ER status measured by IHC_Positve,0.6070528967254408,0.5969773299748111,0.010075566750629705
Chemotherapy_Yes,0.6070528967254408,0.5994962216624685,0.007556675062972307
HER2 Status_Positive,0.6070528967254408,0.5994962216624685,0.007556675062972307
Integrative Cluster_X3,0.6070528967254408,0.5994962216624685,0.007556675062972307
Nottingham prognostic index,0.6070528967254408,0.6020151133501259,0.005037783375314908
Type of Breast Surgery_Breast.Conserving,0.6070528967254408,0.6020151133501259,0.005037783375314908
Cellularity_Moderate,0.6070528967254408,0.6020151133501259,0.005037783375314908
Tumor Other Histologic Subtype_Lobular,0.6070528967254408,0.6020151133501259,0.005037783375314908
Integrative Cluster_X2,0.6070528967254408,0.6020151133501259,0.005037783375314908
Integrative Cluster_X5,0.6070528967254408,0.6020151133501259,0.005037783375314908
3-Gene classifier subtype_HER2.,0.6070528967254408,0.6020151133501259,0.005037783375314908
Cancer Type Detailed_Breast,0.6070528967254408,0.6045340050377834,0.0025188916876573986
Pam50 + Claudin-low subtype_claudin.low,0.6070528967254408,0.6045340050377834,0.0025188916876573986
ER status measured by IHC_Negative,0.6070528967254408,0.6045340050377834,0.0025188916876573986
HER2 status measured by SNP6_Loss,0.6070528967254408,0.6045340050377834,0.0025188916876573986
HER2 status measured by SNP6_Neutral,0.6070528967254408,0.6045340050377834,0.0025188916876573986
Inferred Menopausal State_Post,0.6070528967254408,0.6045340050377834,0.0025188916876573986
Integrative Cluster_X1,0.6070528967254408,0.6045340050377834,0.0025188916876573986
