cost,rbf_sigma,.metric,.estimator,mean,n,std_err,.config
0.125,1e-4,accuracy,binary,0.61500553638936,5,0.018985537538133243,pre0_mod01_post0
0.125,1e-4,bal_accuracy,binary,0.5958505692706738,5,0.018154630273203666,pre0_mod01_post0
0.125,1e-4,pr_auc,binary,0.7129652375995734,5,0.00898431516311364,pre0_mod01_post0
0.125,1e-4,roc_auc,binary,0.643195476446278,5,0.013722151876861667,pre0_mod01_post0
0.125,0.002154434690031882,accuracy,binary,0.6232173994063543,5,0.014721510639865773,pre0_mod02_post0
0.125,0.002154434690031882,bal_accuracy,binary,0.5957375181297435,5,0.014338441471825385,pre0_mod02_post0
0.125,0.002154434690031882,pr_auc,binary,0.7154376317926541,5,0.010248713847449955,pre0_mod02_post0
0.125,0.002154434690031882,roc_auc,binary,0.6523647950106335,5,0.012222188232306003,pre0_mod02_post0
0.125,0.046415888336127774,accuracy,binary,0.5204909191410899,5,0.011480360689994503,pre0_mod03_post0
0.125,0.046415888336127774,bal_accuracy,binary,0.5653993067827494,5,0.007436317156183654,pre0_mod03_post0
0.125,0.046415888336127774,pr_auc,binary,0.6854908982005347,5,0.011074503962663716,pre0_mod03_post0
0.125,0.046415888336127774,roc_auc,binary,0.6130403583280536,5,0.013444789094456934,pre0_mod03_post0
0.125,1,accuracy,binary,0.5948340175652594,5,3.639771119623538e-4,pre0_mod04_post0
0.125,1,bal_accuracy,binary,0.5,5,0,pre0_mod04_post0
0.125,1,pr_auc,binary,0.643911656775344,5,0.005450879675936682,pre0_mod04_post0
0.125,1,roc_auc,binary,0.54459184746777,5,0.008421607267163757,pre0_mod04_post0
0.5,1e-4,accuracy,binary,0.61500553638936,5,0.018985537538133243,pre0_mod05_post0
0.5,1e-4,bal_accuracy,binary,0.5958505692706738,5,0.018154630273203666,pre0_mod05_post0
0.5,1e-4,pr_auc,binary,0.7129652375995734,5,0.00898431516311364,pre0_mod05_post0
0.5,1e-4,roc_auc,binary,0.643195476446278,5,0.013722151876861667,pre0_mod05_post0
0.5,0.002154434690031882,accuracy,binary,0.6194856042575324,5,0.016637119050113447,pre0_mod06_post0
0.5,0.002154434690031882,bal_accuracy,binary,0.6070257767155188,5,0.016919502625248366,pre0_mod06_post0
0.5,0.002154434690031882,pr_auc,binary,0.717853446767872,5,0.014883023982003064,pre0_mod06_post0
0.5,0.002154434690031882,roc_auc,binary,0.662023712098255,5,0.012445371399174692,pre0_mod06_post0
0.5,0.046415888336127774,accuracy,binary,0.6106229360970828,5,0.013476340736793617,pre0_mod07_post0
0.5,0.046415888336127774,bal_accuracy,binary,0.562584357303865,5,0.013269081422008593,pre0_mod07_post0
0.5,0.046415888336127774,pr_auc,binary,0.6821821605429148,5,0.004507483238001201,pre0_mod07_post0
0.5,0.046415888336127774,roc_auc,binary,0.6095066802841548,5,0.01139292201058639,pre0_mod07_post0
0.5,1,accuracy,binary,0.5948340175652594,5,0.001058944885903705,pre0_mod08_post0
0.5,1,bal_accuracy,binary,0.5002460932693491,5,0.0010420894968796,pre0_mod08_post0
0.5,1,pr_auc,binary,0.6427302136414063,5,0.005478283681396237,pre0_mod08_post0
0.5,1,roc_auc,binary,0.5434090197628385,5,0.008154432863713866,pre0_mod08_post0
2,1e-4,accuracy,binary,0.6282567819827883,5,0.018868719288404046,pre0_mod09_post0
2,1e-4,bal_accuracy,binary,0.5999913053317154,5,0.01831545324009091,pre0_mod09_post0
2,1e-4,pr_auc,binary,0.7203867568811229,5,0.008600043146102142,pre0_mod09_post0
2,1e-4,roc_auc,binary,0.6552048385580156,5,0.013134681415271068,pre0_mod09_post0
2,0.002154434690031882,accuracy,binary,0.616930112910197,5,0.00887249394205483,pre0_mod10_post0
2,0.002154434690031882,bal_accuracy,binary,0.6081005714796227,5,0.00899844468663474,pre0_mod10_post0
2,0.002154434690031882,pr_auc,binary,0.7153477686358086,5,0.016850947591344638,pre0_mod10_post0
2,0.002154434690031882,roc_auc,binary,0.6575018587214102,5,0.012529698749084954,pre0_mod10_post0
2,0.046415888336127774,accuracy,binary,0.596764571226798,5,0.008605444308291988,pre0_mod11_post0
2,0.046415888336127774,bal_accuracy,binary,0.5407840340937353,5,0.008637495546497427,pre0_mod11_post0
2,0.046415888336127774,pr_auc,binary,0.6613272004445925,5,0.00515357244194809,pre0_mod11_post0
2,0.046415888336127774,roc_auc,binary,0.5896189349081121,5,0.013888035449964533,pre0_mod11_post0
2,1,accuracy,binary,0.5929452411035409,5,7.762186170238184e-4,pre0_mod12_post0
2,1,bal_accuracy,binary,0.49865879168204746,5,8.220675584108852e-4,pre0_mod12_post0
2,1,pr_auc,binary,0.6422668174695177,5,0.006761447200510408,pre0_mod12_post0
2,1,roc_auc,binary,0.5426388007013767,5,0.009478357450395854,pre0_mod12_post0
8,1e-4,accuracy,binary,0.6226143234893844,5,0.015767030671257957,pre0_mod13_post0
8,1e-4,bal_accuracy,binary,0.6084202575176257,5,0.01691799709603819,pre0_mod13_post0
8,1e-4,pr_auc,binary,0.7191835337259302,5,0.012530010946972574,pre0_mod13_post0
8,1e-4,roc_auc,binary,0.6665528802321,5,0.01281103843968704,pre0_mod13_post0
8,0.002154434690031882,accuracy,binary,0.6257371409226444,5,0.006969404173809431,pre0_mod14_post0
8,0.002154434690031882,bal_accuracy,binary,0.6127540352587514,5,0.006341633154450225,pre0_mod14_post0
8,0.002154434690031882,pr_auc,binary,0.7110728270509299,5,0.012605882886291775,pre0_mod14_post0
8,0.002154434690031882,roc_auc,binary,0.6538526444690755,5,0.009432937935469945,pre0_mod14_post0
8,0.046415888336127774,accuracy,binary,0.5835351497311417,5,0.012475954180640495,pre0_mod15_post0
8,0.046415888336127774,bal_accuracy,binary,0.5301566664277729,5,0.01269426648239997,pre0_mod15_post0
8,0.046415888336127774,pr_auc,binary,0.6545344846072911,5,0.006264841868933241,pre0_mod15_post0
8,0.046415888336127774,roc_auc,binary,0.5772175535678288,5,0.014131219906388352,pre0_mod15_post0
8,1,accuracy,binary,0.5929452411035409,5,7.762186170238184e-4,pre0_mod16_post0
8,1,bal_accuracy,binary,0.49865879168204746,5,8.220675584108852e-4,pre0_mod16_post0
8,1,pr_auc,binary,0.6423976625221559,5,0.006805565066814939,pre0_mod16_post0
8,1,roc_auc,binary,0.5433340324247518,5,0.00976335399729158,pre0_mod16_post0
